"Site (Historical, Archaeological) H-ID"	"Recorders site ID"	"Site Name"	"localisation du diocèse"	"Type de dépendance"	"Dioc?se en 1463"
21		Burwell	"POINT(0.3269 52.275)"	prieur?	Lincoln
22		Bellefond	"POINT(-0.1708 44.7655)"	prieur?	Bazas
23		Coirac	"POINT(-0.1666 44.6922)"	prieur?	Bazas
24		Baron	"POINT(-0.3113 44.823)"	prieur?	Bordeaux
25		Saint-Denis-en-Broqueroie	"POINT(4.0194 50.4914)"	abbaye	Cambrai
26		Calezun	"POINT(0.3223 44.2284)"	prieur?	Agen
27		Daignac	"POINT(-0.2483 44.8002)"	prieur?	Bordeaux
28		Saint-L?ger-au-Bois	"POINT(2.9527 49.4797)"	prieur?	Soissons
29		Ejea	"POINT(-1.1358 42.13)"	prieur?	Huesca
30		Blanquefort-sur-Briolance	"POINT(0.9711 44.5975)"	prieur?	Agen
31		Siorac	"POINT(0.9875 44.822)"	prieur?	P?rigueux
32		Ruesta	"POINT(-1.0766 42.5886)"	prieur?	Pampelune
33		Saint-Etienne-de-Ruch	"POINT(-0.0388 44.7772)"	prieur?	Bazas
34		Saint-Pey-de-Castets	"POINT(-0.0672 44.8116)"	prieur?	Bazas
35		"Le Pisou"	"POINT(0.0627 45.0238)"	prieuré	Périgueux
36		Uncastillo	"POINT(-1.1333 42.3591)"	prieur?	Huesca
